group,n,successN,failN,p50FirstByteMs,p95FirstByteMs,p99FirstByteMs,p50FirstSseMs,p95FirstSseMs,p99FirstSseMs,p50FirstContentMs,p95FirstContentMs,p99FirstContentMs,p50TotalMs,p95TotalMs,p99TotalMs
gpt-5.5|POST /v1/chat/completions|stream=false,5,5,0,4068,9903,9903,,,,4068,9904,9904,4068,9904,9904
gpt-5.5|POST /v1/responses|stream=false,5,5,0,4029,4687,4687,,,,4029,4687,4687,4029,4687,4687
gpt-5.5|POST /v1/chat/completions|stream=true,5,5,0,1195,2206,2206,1195,2206,2206,3718,4952,4952,3822,4952,4952
gpt-5.5|POST /v1/responses|stream=true,5,5,0,1546,2298,2298,1546,2298,2298,4030,6342,6342,4033,6343,6343
gpt-5-pro|POST /v1/chat/completions|stream=false,5,5,0,5987,11418,11418,,,,5987,11418,11418,5987,11418,11418
gpt-5-pro|POST /v1/responses|stream=false,5,5,0,4250,6067,6067,,,,4250,6068,6068,4250,6068,6068
gpt-5-pro|POST /v1/chat/completions|stream=true,5,5,0,1136,1572,1572,1136,1572,1572,3383,3666,3666,3383,3667,3667
gpt-5-pro|POST /v1/responses|stream=true,5,5,0,1891,2095,2095,1891,2095,2095,4822,5306,5306,4823,5366,5366
gpt-5.4-pro|POST /v1/chat/completions|stream=false,5,5,0,6241,14285,14285,,,,6241,14285,14285,6241,14285,14285
gpt-5.4-pro|POST /v1/responses|stream=false,5,5,0,4263,8635,8635,,,,4264,8635,8635,4264,8635,8635
gpt-5.4-pro|POST /v1/chat/completions|stream=true,5,5,0,1041,1380,1380,1041,1380,1380,3916,5207,5207,3917,5208,5208
gpt-5.4-pro|POST /v1/responses|stream=true,5,5,0,1261,2474,2474,1261,2474,2474,3674,5598,5598,3882,5599,5599
gemini-3-pro|POST /v1/chat/completions|stream=false,5,4,1,6532,84119,84119,,,,6533,84119,84119,6533,84119,84119
gemini-3-pro|POST /v1/responses|stream=false,5,5,0,8620,25762,25762,,,,8621,25763,25763,8621,25763,25763
gemini-3-pro|POST /v1/chat/completions|stream=true,5,5,0,1109,2147,2147,1109,2147,2147,6753,11356,11356,6753,11357,11357
gemini-3-pro|POST /v1/responses|stream=true,5,5,0,1794,2443,2443,1794,2443,2443,7343,15561,15561,7344,15562,15562
gemini-2.5-pro|POST /v1/chat/completions|stream=false,5,5,0,10730,16753,16753,,,,10730,16754,16754,10730,16754,16754
gemini-2.5-pro|POST /v1/responses|stream=false,5,5,0,7363,41243,41243,,,,7363,41243,41243,7363,41243,41243
gemini-2.5-pro|POST /v1/chat/completions|stream=true,5,5,0,1075,1830,1830,1075,1830,1830,9053,36320,36320,11240,46591,46591
gemini-2.5-pro|POST /v1/responses|stream=true,5,5,0,1106,1174,1174,1106,1174,1174,9663,66929,66929,9664,66929,66929
gemini-2.5-flash|POST /v1/chat/completions|stream=false,5,4,1,7161,37261,37261,,,,7161,37261,37261,7161,37261,37261
gemini-2.5-flash|POST /v1/responses|stream=false,5,4,1,12265,24826,24826,,,,12265,24826,24826,12265,24826,24826
gemini-2.5-flash|POST /v1/chat/completions|stream=true,5,5,0,1603,1700,1700,1603,1700,1700,9308,37227,37227,9309,37228,37228
gemini-2.5-flash|POST /v1/responses|stream=true,5,5,0,1405,1514,1514,1405,1514,1514,10559,42501,42501,10560,42503,42503
ALL,120,117,3,2443,24826,41243,1331,2258,2474,6218,37261,66929,6241,38331,66929
