model,route,stream,status,firstByteMs,firstSseMs,firstContentMs,totalMs,requestId,creditsCharged,errorCode,billingStatus
gpt-5.5,POST /v1/chat/completions,false,200,7550,,7551,7551,f536fef47f18d1cfc5bc009a2bf49aae,0.006511,,
gpt-5.5,POST /v1/responses,false,200,4029,,4029,4029,312619fe5e92e0abc2780b18a8000173,0.006511,,
gpt-5.5,POST /v1/chat/completions,true,200,1005,1006,3821,3822,94e6fc9c2812c516a0abfb0387d285ba,,,
gpt-5.5,POST /v1/responses,true,200,1546,1546,4030,4033,e38b934726611f229eafdb84c2e33a66,,,
gpt-5.5,POST /v1/chat/completions,false,200,3649,,3649,3649,ebc8beed456a9aab1732b4652954de48,0.006511,,
gpt-5.5,POST /v1/responses,false,200,4687,,4687,4687,08b968748467d05c8f8cff0a503b79af,0.006511,,
gpt-5.5,POST /v1/chat/completions,true,200,1330,1330,3427,3428,20df49b9ccc0ccf9bc51009ebec563b8,,,
gpt-5.5,POST /v1/responses,true,200,2298,2298,5014,5015,67674b8622aba8b3b9b58d2e513bfd8b,,,
gpt-5.5,POST /v1/chat/completions,false,200,4068,,4068,4068,ea42ad87db0fc2ace043c3d961cf5627,0.006511,,
gpt-5.5,POST /v1/responses,false,200,3609,,3610,3610,803c9dde8186cbb0fc743e7d792e8a33,0.006511,,
gpt-5.5,POST /v1/chat/completions,true,200,1195,1195,3563,3564,681a3023f77b6f84e8a365bea4dcf0ee,,,
gpt-5.5,POST /v1/responses,true,200,1127,1127,3863,3864,18757907bdfc3bec453a23bae88d12fe,,,
gpt-5.5,POST /v1/chat/completions,false,200,3472,,3472,3472,037c7b72fb75223cf01513b252fea730,0.006511,,
gpt-5.5,POST /v1/responses,false,200,3489,,3490,3490,d520fdf59a6dab76dd3066e0e5408498,0.006511,,
gpt-5.5,POST /v1/chat/completions,true,200,1052,1052,3718,4565,afbb98c06d4975fc8974e17e68f3839d,,,
gpt-5.5,POST /v1/responses,true,200,1529,1529,3959,3960,501aae30331df9de239c2e1185e0fb0b,,,
gpt-5.5,POST /v1/chat/completions,false,200,9903,,9904,9904,d7d96e3e9d46df6b561a6f9fc5c13907,0.006511,,
gpt-5.5,POST /v1/responses,false,200,4085,,4086,4086,43095668f96ad7c6867f671ee4b642b4,0.006511,,
gpt-5.5,POST /v1/chat/completions,true,200,2206,2206,4952,4952,097f49cbe00be2a53984026efe8c0a79,,,
gpt-5.5,POST /v1/responses,true,200,2258,2258,6342,6343,273aa17534b003db3c026fc8278e2b6d,,,
gpt-5-pro,POST /v1/chat/completions,false,200,5987,,5987,5987,006b6c102058876097169d9658b4d62c,0.006511,,
gpt-5-pro,POST /v1/responses,false,200,4250,,4250,4250,ad136062e047cc43d31b688bfcd1340a,0.006511,,
gpt-5-pro,POST /v1/chat/completions,true,200,1136,1136,3383,3383,17a2d148efea41293da76fe6d18b08c3,,,
gpt-5-pro,POST /v1/responses,true,200,1643,1643,4047,4550,73f5ed76434e8824e1530abb3170c726,,,
gpt-5-pro,POST /v1/chat/completions,false,200,7079,,7079,7079,7bd13582a7bd5724c34d496e1bd27fba,0.006511,,
gpt-5-pro,POST /v1/responses,false,200,3933,,3933,3933,a29b27641ff14877f109892bf94d8319,0.006511,,
gpt-5-pro,POST /v1/chat/completions,true,200,1572,1572,3310,3311,60027fc5de0d5fa104eaac48867a16b4,,,
gpt-5-pro,POST /v1/responses,true,200,1922,1922,4822,4823,14a678e517618b9a87a508e38112156a,,,
gpt-5-pro,POST /v1/chat/completions,false,200,3727,,3728,3728,724b3226340d13ac59b6fddcb8c090d5,0.006511,,
gpt-5-pro,POST /v1/responses,false,200,3971,,3972,3972,241aebbda023a3172d677fcf89267e49,0.006511,,
gpt-5-pro,POST /v1/chat/completions,true,200,1133,1133,3666,3667,007b386214e98791cff4aa81db5ff340,,,
gpt-5-pro,POST /v1/responses,true,200,2095,2095,4905,5366,28e5597f9cf8293f6912708393cb4246,,,
gpt-5-pro,POST /v1/chat/completions,false,200,3955,,3955,3955,f01ff97fc21388633cabcce8cef740ac,0.006511,,
gpt-5-pro,POST /v1/responses,false,200,5613,,5613,5613,3782e194857e71e096c8a0448e208494,0.006511,,
gpt-5-pro,POST /v1/chat/completions,true,200,1027,1027,3313,3314,1001e9b6171d434e99eaab277aadc84c,,,
gpt-5-pro,POST /v1/responses,true,200,1891,1891,5306,5307,6dd7f1ed8883234fce90e9c3c2b22653,,,
gpt-5-pro,POST /v1/chat/completions,false,200,11418,,11418,11418,d1845a925d664a2b8902015f22e0e677,0.006511,,
gpt-5-pro,POST /v1/responses,false,200,6067,,6068,6068,916b26eadd5f030c396de2ce9f27ea17,0.006511,,
gpt-5-pro,POST /v1/chat/completions,true,200,1348,1348,3622,3622,31bb448a9369198e4a5645836ac183c7,,,
gpt-5-pro,POST /v1/responses,true,200,1646,1646,4076,4077,65e1d9dc7f9d9b22d312f0de855cb1b5,,,
gpt-5.4-pro,POST /v1/chat/completions,false,200,6241,,6241,6241,5455aa4ef088c818faa2ff4118219fcd,0.006511,,
gpt-5.4-pro,POST /v1/responses,false,200,4035,,4036,4036,0ee31b723bf6b1b8bee1df745b424e05,0.006511,,
gpt-5.4-pro,POST /v1/chat/completions,true,200,1380,1380,3620,3620,103c57f274533c2385bb7e838b2836be,,,
gpt-5.4-pro,POST /v1/responses,true,200,1322,1322,5598,5599,1ac564958c3c96b64564657c4aed307e,,,
gpt-5.4-pro,POST /v1/chat/completions,false,200,4573,,4573,4573,e920e7223ce44dec8ac64c4ee232bed6,0.006511,,
gpt-5.4-pro,POST /v1/responses,false,200,3070,,3071,3071,47d06bbcd5d8fd66fe157e422ee1620e,0.006511,,
gpt-5.4-pro,POST /v1/chat/completions,true,200,1012,1012,5207,5208,58b6a5e129f1570da6abc7346667bff3,,,
gpt-5.4-pro,POST /v1/responses,true,200,2474,2474,4782,4782,d99f42615de1c4335037af7f9f0c5e41,,,
gpt-5.4-pro,POST /v1/chat/completions,false,200,6829,,6829,6829,feef438c9e95dbd666bc9877df274bd0,0.006511,,
